"","Lb","Freq"
"348","nn",703
"349","no",1252
"350","np",115
"351","nq",23
"352","nr",122
"353","ns",6358
"354","nt",11463
"355","nu",1335
"356","nv",1018
"357","nw",25
"358","nx",8
"359","ny",667
"360","nz",119
"361","o­",76
"362","o’",1
"363","oa",981
"364","ob",713
"365","oc",2439
"366","od",1198
"367","oe",137
"368","of",493
"369","og",1720
"370","oh",187
"371","oi",511
"372","oj",99
"373","ok",236
"374","ol",2750
"375","om",5711
"376","on",19161
"377","oo",674
"378","op",2827
"379","oq",5
"380","or",9239
"381","os",2998
"382","ot",1448
"383","ou",3193
"384","ov",2106
"385","ow",622
"386","ox",546
"387","oy",301
"388","oz",26
"389","p­",22
"390","p‘",1
"391","p’",2
"392","pa",4943
"393","pb",7
"394","pc",76
"395","pd",46
"396","pe",3968
"397","pf",9
"398","pg",9
"399","ph",534
"400","pi",646
"401","pj",3
"402","pk",2
"403","pl",2075
"404","pm",446
"405","pn",1
"406","po",5705
"407","pp",1714
"408","pq",1
"409","pr",7494
"410","ps",207
"411","pt",814
"412","pu",947
"413","pv",4
"414","pw",6
"415","px",1
"416","py",45
"417","qa",3
"418","qb",1
"419","qc",3
"420","qf",1
"421","qi",5
"422","ql",3
"423","qn",1
"424","qr",3
"425","qs",3
"426","qt",3
"427","qu",1356
"428","qw",27
"429","r­",72
"430","r’",6
"431","ra",7031
"432","rb",170
"433","rc",1386
"434","rd",1870
"435","re",16279
"436","rf",403
"437","rg",1348
"438","rh",51
"439","ri",5515
"440","rj",1
"441","rk",634
"442","rl",274
"443","rm",1854
"444","rn",1565
"445","ro",7809
"446","rp",435
"447","rq",1
"448","rr",661
"449","rs",2930
"450","rt",3972
"451","ru",872
"452","rv",637
"453","rw",86
"454","ry",2767
"455","s­",75
"456","sa",1596
"457","sb",57
"458","sc",1259
"459","sd",93
"460","se",6953
"461","sf",137
"462","sg",53
"463","sh",1482
"464","si",5152
"465","sj",1
"466","sk",670
"467","sl",906
"468","sm",344
"469","sn",46
"470","so",2051
"471","sp",2164
"472","sq",4
"473","sr",85
"474","ss",5059
"475","st",9145
"476","su",4386
"477","sv",9
"478","sw",87
"479","sx",3
"480","sy",321
"481","sz",1
"482","t­",43
"483","t’",2
"484","ta",6708
"485","tb",18
"486","tc",171
"487","td",12
"488","te",13265
"489","tf",31
"490","tg",19
"491","th",2072
"492","ti",19435
"493","tj",1
"494","tk",13
"495","tl",608
"496","tm",528
"497","tn",71
"498","to",2958
"499","tp",38
"500","tr",5422
"501","ts",3740
"502","tt",3021
"503","tu",1866
"504","tv",22
"505","tw",117
"506","tx",18
"507","ty",2044
"508","tz",30
"509","u­",31
"510","ua",1365
"511","ub",1573
"512","uc",1476
"513","ud",1305
"514","ue",2099
"515","uf",278
"516","ug",302
"517","uh",1
"518","ui",1004
"519","uj",1
"520","uk",12
"521","ul",2330
"522","um",865
"523","un",3454
"524","uo",79
"525","up",1222
"526","ur",3251
"527","us",3769
"528","ut",2010
"529","uu",3
"530","uv",1
"531","ux",8
"532","uy",9
"533","uz",7
"534","v­",3
"535","va",864
"536","vc",6
"537","vd",15
"538","ve",6275
"539","vh",2
"540","vi",3631
"541","vl",37
"542","vn",1
"543","vo",792
"544","vp",1
"545","vr",23
"546","vs",5
"547","vt",5
"548","vu",7
"549","vy",7
"550","w­",2
"551","wa",1338
"552","wb",5
"553","wc",8
"554","wd",5
"555","we",445
"556","wf",4
"557","wg",2
"558","wh",100
"559","wi",431
"560","wj",1
"561","wk",2
"562","wl",54
"563","wm",27
"564","wn",118
"565","wo",498
"566","wp",40
"567","wr",106
"568","ws",302
"569","wt",23
"570","wu",23
"571","wv",11
"572","wy",17
"573","x­",7
"574","xa",194
"575","xb",1
"576","xc",174
"577","xe",408
"578","xh",223
"579","xi",808
"580","xk",1
"581","xl",8
"582","xm",15
"583","xn",2
"584","xo",27
"585","xp",934
"586","xq",2
"587","xs",5
"588","xt",226
"589","xu",1
"590","xx",19
"591","xy",32
"592","y­",8
"593","y’",6
"594","ya",55
"595","yb",12
"596","yc",120
"597","yd",88
"598","ye",346
"599","yf",25
"600","yg",6
"601","yh",10
"602","yi",137
"603","yk",1
"604","yl",471
"605","ym",154
"606","yn",41
"607","yo",64
"608","yp",58
"609","yr",58
"610","ys",644
"611","yt",68
"612","yu",1
"613","yv",8
"614","yw",11
"615","yy",1
"616","yz",28
"617","z­",2
"618","za",880
"619","zc",1
"620","zd",16
"621","ze",523
"622","zf",1
"623","zg",3
"624","zh",2
"625","zi",98
"626","zk",1
"627","zl",2
"628","zm",13
"629","zn",2
"630","zo",67
"631","zp",2
"632","zq",1
"633","zs",1
"634","zt",2
"635","zw",1
"636","zy",2
"637","zz",2
